decision_id,answer_id,target_id,target_class,review_prompt,human_decision,allowed_decisions,edited_source_url_or_citation,edited_quoted_or_precise_source_text,edited_answer_summary,reviewer_note,claim_limit_must_remain,gate_approval_allowed_now,score_allowed,support_allowed
decision_row_001,answer_001,row_meaning_001,row_meaning,What does the f_sigma8(z) row mean?,accept_for_next_review,accept_for_next_review|edit_needed|reject|keep_blocked,https://www.sdss4.org/science/final-bao-and-rsd-measurements-table/,"The SDSS table has an RSD Measurements section and lists the f σ_{8}(z) row values as 0.53 +/- 0.16, 0.500 +/- 0.047, 0.455 +/- 0.039, 0.448 +/- 0.043, 0.315 +/- 0.095, and 0.462 +/- 0.045.","Accept for next review: f_sigma8(z) is the fσ8 row inside the SDSS RSD Measurements section; this confirms row meaning only, not a baseline or score.","Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Source basis is the SDSS final BAO/RSD measurements table.",no_scoring/no_claims,False,False,False
decision_row_002,answer_002,row_meaning_002,row_meaning,What does the f_sigma8 row mean and is it final/consensus?,accept_for_next_review,accept_for_next_review|edit_needed|reject|keep_blocked,https://www.sdss4.org/science/final-bao-and-rsd-measurements-table/,"The SDSS table has a BAO+RSD Measurements section and lists an f σ 8 row with values 0.53 +/- 0.16, 0.497 +/- 0.045, 0.459 +/- 0.038, 0.473 +/- 0.041, 0.315 +/- 0.095, and 0.462 +/- 0.045.","Accept for next review: f_sigma8 is the BAO+RSD fσ8 row in the SDSS final-measurements table; this confirms row meaning only, not a score.","Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Source basis is the SDSS final BAO/RSD measurements table.",no_scoring/no_claims,False,False,False
decision_row_003,answer_003,row_meaning_003,row_meaning,How are f_sigma8(z) and f_sigma8 related?,accept_for_next_review,accept_for_next_review|edit_needed|reject|keep_blocked,https://www.sdss4.org/science/final-bao-and-rsd-measurements-table/,"The SDSS table separates RSD Measurements from BAO+RSD Measurements. The RSD section contains f σ_{8}(z), while the BAO+RSD section contains f σ 8 with a different middle set of values.",Accept for next review: the two fσ8 rows are related but not interchangeable; they belong to different table sections and should not be mixed.,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Source basis is the SDSS final BAO/RSD measurements table.",no_scoring/no_claims,False,False,False
decision_row_004,answer_004,row_meaning_004,row_family,"Which one row family may be selected later, if any?",accept_for_next_review,accept_for_next_review|edit_needed|reject|keep_blocked,https://www.sdss4.org/science/final-bao-and-rsd-measurements-table/,The SDSS table’s BAO+RSD Measurements section lists f σ 8 and then gives Reference for final results. The RSD-only section separately lists f σ_{8}(z).,"Accept for next review as a row-family candidate: use the BAO+RSD fσ8 row for later review, while keeping RSD-only fσ8(z) separate and not mixed.","Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Source basis is the SDSS final BAO/RSD measurements table.",no_scoring/no_claims,False,False,False
decision_row_005,answer_005,baseline_001,baseline,"What standard comparator values should be used, if any?",keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because no independent standard comparator/baseline value, uncertainty policy, covariance, or null/support boundary has been approved.",no_scoring/no_claims,False,False,False
decision_row_006,answer_006,baseline_002,baseline,What exact source maps comparator value to row/tracer/redshift?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because no independent standard comparator/baseline value, uncertainty policy, covariance, or null/support boundary has been approved.",no_scoring/no_claims,False,False,False
decision_row_007,answer_007,baseline_003,baseline,What uncertainty policy is source-backed for comparator values?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because no independent standard comparator/baseline value, uncertainty policy, covariance, or null/support boundary has been approved.",no_scoring/no_claims,False,False,False
decision_row_008,answer_008,baseline_004,baseline,Should this stay blocked to preserve the null/support boundary?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because no independent standard comparator/baseline value, uncertainty policy, covariance, or null/support boundary has been approved.",no_scoring/no_claims,False,False,False
decision_row_009,answer_009,definition_match_bound_01,definition_match,Does comparator match f σ 8 (z) observable f_sigma8 row with observed value 0.53 +/- 0.16?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
decision_row_010,answer_010,definition_match_bound_02,definition_match,Does comparator match f σ 8 (z) observable f_sigma8 row with observed value 0.5 +/- 0.047?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
decision_row_011,answer_011,definition_match_bound_03,definition_match,Does comparator match f σ 8 (z) observable f_sigma8 row with observed value 0.455 +/- 0.039?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
decision_row_012,answer_012,definition_match_bound_04,definition_match,Does comparator match f σ 8 (z) observable f_sigma8 row with observed value 0.448 +/- 0.043?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
decision_row_013,answer_013,definition_match_bound_05,definition_match,Does comparator match f σ 8 (z) observable f_sigma8 row with observed value 0.315 +/- 0.095?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
decision_row_014,answer_014,definition_match_bound_06,definition_match,Does comparator match f σ 8 (z) observable f_sigma8 row with observed value 0.462 +/- 0.045?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
decision_row_015,answer_015,definition_match_bound_07,definition_match,Does comparator match f σ 8 observable f_sigma8 row with observed value 0.53 +/- 0.16?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
decision_row_016,answer_016,definition_match_bound_08,definition_match,Does comparator match f σ 8 observable f_sigma8 row with observed value 0.497 +/- 0.045?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
decision_row_017,answer_017,definition_match_bound_09,definition_match,Does comparator match f σ 8 observable f_sigma8 row with observed value 0.459 +/- 0.038?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
decision_row_018,answer_018,definition_match_bound_10,definition_match,Does comparator match f σ 8 observable f_sigma8 row with observed value 0.473 +/- 0.041?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
decision_row_019,answer_019,definition_match_bound_11,definition_match,Does comparator match f σ 8 observable f_sigma8 row with observed value 0.315 +/- 0.095?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
decision_row_020,answer_020,definition_match_bound_12,definition_match,Does comparator match f σ 8 observable f_sigma8 row with observed value 0.462 +/- 0.045?,keep_blocked,accept_for_next_review|edit_needed|reject|keep_blocked,,,,"Assistant-filled at user request; treat as review-decision input only, not external peer review, not gate approval, and not scoring. Keep blocked because definition matching requires an approved comparator/baseline first; observed SDSS row location alone is not enough.",no_scoring/no_claims,False,False,False
